,Region,Population
0,Western,2060585.0
1,Central,2859821.0
2,Greater Accra,5455692.0
3,Volta,1659040.0
4,Eastern,2925653.0
5,Ashanti,5440463.0
6,Western North,880921.0
7,Ahafo,564668.0
8,Bono,1208649.0
9,Bono East,1203400.0
10,Oti,747248.0
11,Northern,2310928.0
12,Savannah,653277.0
13,North East,658946.0
14,Upper East,1301226.0
15,Upper West,901502.0
